Дата торгов,BR,SBER,SNGS,Si
2017-04-25,51.62,162.54,27.315,56667.0
2017-04-26,51.95,163.8,27.94,57270.0
2017-04-27,51.16,164.56,28.185,57650.0
2017-04-28,51.55,165.15,28.125,57525.0
2017-05-02,51.63,167.28,28.2,57558.0
2017-05-03,50.64,164.82,28.63,57746.0
2017-05-04,50.0,165.8,28.655,58331.0
2017-05-05,48.66,165.14,28.5,58917.0
2017-05-10,49.42,168.98,28.81,58385.0
2017-05-11,50.7,170.82,28.69,57633.0
2017-05-12,50.75,168.3,28.49,57586.0
2017-05-15,52.03,169.86,28.08,56864.0
2017-05-16,52.03,170.93,28.03,56706.0
2017-05-17,51.97,169.59,28.06,57173.0
2017-05-18,51.94,166.27,28.16,58013.0
2017-05-19,53.01,167.76,27.595,57489.0
2017-05-22,53.94,168.56,26.825,56976.0
2017-05-23,53.71,166.92,27.57,56783.0
2017-05-24,54.25,165.4,27.585,56667.0
2017-05-25,53.54,165.08,28.84,56503.0
2017-05-26,51.55,161.51,29.305,57038.0
2017-05-29,52.11,162.78,30.49,56772.0
2017-05-30,51.72,162.17,30.575,56785.0
2017-05-31,50.97,157.35,30.39,56941.0
2017-06-01,50.27,154.45,27.54,56723.0
2017-06-02,49.84,154.58,26.555,56744.0
2017-06-05,49.85,156.88,26.855,56764.0
2017-06-06,49.35,153.75,26.675,56798.0
2017-06-07,49.28,153.68,26.725,56837.0
2017-06-08,48.13,150.51,26.21,57074.0
2017-06-09,47.93,151.58,26.09,57009.0
2017-06-13,48.3,146.11,26.03,56943.0
2017-06-14,48.0,144.26,25.46,57023.0
2017-06-15,46.96,138.0,24.45,57391.0
2017-06-16,47.26,140.98,24.81,58843.0
2017-06-19,47.46,143.96,24.685,59265.0
2017-06-20,46.31,145.98,25.335,60237.0
2017-06-21,45.97,143.79,25.67,60867.0
2017-06-22,45.06,144.29,25.665,61154.0
2017-06-23,45.39,144.72,25.615,60720.0
2017-06-26,45.61,145.17,25.385,60146.0
2017-06-27,46.36,145.61,25.76,60008.0
2017-06-28,46.7,145.64,25.89,60567.0
2017-06-29,47.63,145.26,26.01,60138.0
2017-06-30,47.58,145.55,25.79,60313.0
2017-07-03,47.9,147.25,26.04,60140.0
2017-07-04,49.58,148.88,26.385,60239.0
2017-07-05,48.84,148.91,26.42,60825.0
2017-07-06,48.36,150.23,26.615,61048.0
2017-07-07,47.23,151.04,26.635,61322.0
2017-07-10,46.66,154.19,26.195,61277.0
2017-07-11,46.82,156.05,26.265,61627.0
2017-07-12,48.01,159.68,26.615,61270.0
2017-07-13,47.79,160.18,26.77,60884.0
2017-07-14,48.62,161.22,26.885,60359.0
2017-07-17,48.94,161.2,26.76,60018.0
2017-07-18,48.78,161.75,26.4,59980.0
2017-07-19,49.09,162.65,26.685,59911.0
2017-07-20,49.78,164.16,26.715,59811.0
2017-07-21,49.08,162.7,26.55,59710.0
2017-07-24,48.26,160.69,26.685,60532.0
2017-07-25,49.3,160.79,26.48,60647.0
2017-07-26,50.47,161.3,26.365,60594.0
2017-07-27,50.95,164.14,26.405,60172.0
2017-07-28,51.84,164.35,26.05,60187.0
2017-07-31,52.5,165.14,26.34,60704.0
2017-08-01,52.58,167.12,27.235,60658.0
2017-08-02,51.66,168.65,27.2,61220.0
2017-08-03,52.42,170.01,27.585,61076.0
2017-08-04,51.97,169.58,26.925,60813.0
2017-08-07,51.94,171.97,27.15,60624.0
2017-08-08,52.27,174.29,27.365,60495.0
2017-08-09,52.28,173.86,27.15,60544.0
2017-08-10,52.95,173.03,27.19,60424.0
2017-08-11,51.78,170.43,26.505,60549.0
2017-08-14,51.95,172.79,26.43,60212.0
2017-08-15,50.61,171.53,26.38,60357.0
2017-08-16,50.96,174.18,26.395,59958.0
2017-08-17,50.42,173.24,26.56,59744.0
2017-08-18,51.08,169.73,26.35,59700.0
2017-08-21,52.36,169.84,26.355,59424.0
2017-08-22,51.85,170.77,26.31,59379.0
2017-08-23,51.88,173.57,26.665,59449.0
2017-08-24,52.33,178.71,26.505,59469.0
2017-08-25,52.29,180.88,26.68,59324.0
2017-08-28,52.26,180.81,26.28,58791.0
2017-08-29,51.78,180.35,26.27,58949.0
2017-08-30,51.65,182.95,26.5,58848.0
2017-08-31,51.18,184.62,26.69,58601.0
2017-09-01,52.32,183.81,27.245,57984.0
2017-09-04,52.47,183.19,26.875,57983.0
2017-09-05,52.89,184.25,27.29,57864.0
2017-09-06,53.77,182.3,27.14,57577.0
2017-09-07,54.25,184.37,27.335,57187.0
2017-09-08,54.48,185.48,27.48,57194.0
2017-09-11,53.63,189.51,27.785,57301.0
2017-09-12,53.94,189.44,27.99,57544.0
2017-09-13,54.51,189.55,28.11,57840.0
2017-09-14,55.43,187.53,27.765,57776.0
2017-09-15,55.45,188.15,27.945,57622.0
2017-09-18,55.39,188.52,28.185,57773.0
2017-09-19,55.5,185.59,28.425,58134.0
2017-09-20,55.64,184.3,28.64,57991.0
2017-09-21,56.12,186.16,29.02,58119.0
2017-09-22,56.53,187.94,28.765,58492.0
2017-09-25,57.47,189.57,28.925,58285.0
2017-09-26,58.55,193.89,29.185,58439.0
2017-09-27,58.18,192.96,29.255,58922.0
2017-09-28,58.06,192.85,29.545,59000.0
2017-09-29,57.4,192.23,29.395,58576.0
2017-10-02,57.46,192.79,29.49,58604.0
2017-10-03,56.04,193.1,29.32,58756.0
2017-10-04,55.85,191.88,29.16,58481.0
2017-10-05,56.29,191.39,29.22,58275.0
2017-10-06,56.25,195.18,29.5,58665.0
2017-10-09,55.54,193.59,29.45,59066.0
2017-10-10,56.23,193.66,29.385,58720.0
2017-10-11,56.62,195.47,29.735,58585.0
2017-10-12,56.39,195.91,29.825,58417.0
2017-10-13,56.87,196.51,29.725,58114.0
2017-10-16,57.72,197.71,29.645,57839.0
2017-10-17,57.9,197.06,29.54,58018.0
2017-10-18,58.08,195.74,29.59,57984.0
2017-10-19,57.56,193.33,29.39,58145.0
2017-10-20,57.16,193.15,29.525,58094.0
2017-10-23,57.61,192.01,29.56,58050.0
2017-10-24,57.5,191.65,29.2,58116.0
2017-10-25,58.31,193.29,29.105,58178.0
2017-10-26,58.28,191.73,28.82,58239.0
2017-10-27,59.39,194.27,29.06,58785.0
2017-10-30,60.58,196.58,29.615,58366.0
2017-10-31,60.73,195.04,29.485,58760.0
2017-11-01,61.29,195.65,29.58,58681.0
2017-11-02,60.38,193.86,29.305,58713.0
2017-11-03,60.77,194.3,29.24,59103.0
2017-11-07,63.23,202.16,29.91,59208.0
2017-11-08,63.49,209.11,30.35,59732.0
2017-11-09,63.66,215.45,30.45,59672.0
2017-11-10,63.96,222.18,30.245,59591.0
2017-11-13,63.55,218.64,30.065,59730.0
2017-11-14,62.78,220.05,30.075,60064.0
2017-11-15,61.67,224.75,29.765,60572.0
2017-11-16,61.78,223.36,29.185,60263.0
2017-11-17,61.75,225.86,29.0,59818.0
2017-11-20,62.24,224.43,29.215,59623.0
2017-11-21,62.29,229.95,29.385,59674.0
2017-11-22,62.86,230.69,29.215,59168.0
2017-11-23,63.1,226.86,29.06,58724.0
2017-11-24,63.55,225.79,29.355,58701.0
2017-11-27,63.57,226.3,29.05,58441.0
2017-11-28,63.51,226.46,28.92,58585.0
2017-11-29,63.4,228.63,28.435,58592.0
2017-11-30,63.35,225.58,27.6,58748.0
2017-12-01,63.56,222.54,27.63,58767.0
2017-12-04,63.42,223.32,27.45,59089.0
2017-12-05,62.53,222.9,27.31,58854.0
2017-12-06,62.46,223.53,27.72,59152.0
2017-12-07,61.57,221.8,27.695,59381.0
2017-12-08,62.67,221.69,27.59,59355.0
2017-12-11,63.47,224.53,28.205,59320.0
2017-12-12,64.95,227.59,28.835,59018.0
2017-12-13,63.71,223.48,28.935,59107.0
2017-12-14,62.6,225.45,29.065,58775.0
2017-12-15,63.27,227.03,28.975,58912.0
2017-12-18,63.5,227.39,28.84,58699.0
2017-12-19,63.52,225.54,28.59,58670.0
2017-12-20,63.82,225.19,28.085,58700.0
2017-12-21,64.36,224.63,27.815,58568.0
2017-12-22,64.66,222.82,28.12,58952.0
2017-12-25,65.0,223.03,27.93,58702.0
2017-12-26,65.42,222.58,27.52,58359.0
2017-12-27,66.56,225.17,27.5,58266.0
2017-12-28,66.49,224.77,27.715,58157.0
2017-12-29,66.55,225.08,27.735,58211.0
2018-01-03,66.91,230.55,27.775,57932.0
2018-01-04,67.77,235.77,27.98,57687.0
2018-01-05,67.7,238.21,28.055,57512.0
2018-01-09,67.84,241.45,28.36,57560.0
2018-01-10,68.84,238.38,28.285,57464.0
2018-01-11,69.32,238.57,28.345,57441.0
2018-01-12,69.26,237.56,28.49,57066.0
2018-01-15,69.61,239.52,28.84,56904.0
2018-01-16,69.66,238.24,28.965,56890.0
2018-01-17,69.07,238.42,29.49,57167.0
2018-01-18,69.22,243.96,30.215,57104.0
2018-01-19,68.85,242.65,30.115,56986.0
2018-01-22,68.62,243.15,30.09,57004.0
2018-01-23,69.26,243.86,30.04,56859.0
2018-01-24,69.88,245.28,30.2,56720.0
2018-01-25,70.56,249.85,30.595,56242.0
2018-01-26,70.43,248.48,30.44,56255.0
2018-01-29,70.09,249.24,30.57,56696.0
2018-01-30,69.12,255.32,30.365,56489.0
2018-01-31,68.75,262.04,29.345,56584.0
2018-02-01,68.97,265.54,29.115,56567.0
2018-02-02,69.11,259.92,29.02,56550.0
2018-02-05,68.16,256.23,29.11,56936.0
2018-02-06,67.29,255.32,28.855,57448.0
2018-02-07,67.03,259.46,29.27,57362.0
2018-02-08,65.43,256.11,29.05,58005.0
2018-02-09,64.39,248.47,28.535,58454.0
2018-02-12,63.1,254.55,28.34,58399.0
2018-02-13,62.63,256.98,28.325,58032.0
2018-02-14,62.55,260.81,28.205,57767.0
2018-02-15,63.93,266.16,28.21,56954.0
2018-02-16,64.3,265.51,28.57,56589.0
2018-02-19,65.0,267.2,28.51,56590.0
